id,age, gender, education_level,role_name, years_of_experience, basic_salary,currency
1,32,Male,Bachelors,Software Engineer,5,90000,gbp
2,28,Female,Masters,Data Analyst,3,65000,gbp
3,45,Male,PhD,Senior Manager,15,150000,gbp
4,36,Female,Bachelors,Sales Associate,7,60000,gbp
5,52,Male,Masters,Director,20,200000,gbp
6,29,Male,Bachelors,Marketing Analyst,2,55000,gbp
7,42,Female,Masters,Product Manager,12,120000,gbp
8,31,Male,Bachelors,Sales Manager,4,80000,gbp
9,26,Female,Bachelors,Marketing Coordinator,1,45000,gbp
10,38,Male,PhD,Senior Scientist,10,110000,gbp
11,29,Male,Masters,Software Developer,3,75000,gbp
12,48,Female,Bachelors,HR Manager,18,140000,gbp
13,35,Male,Bachelors,Financial Analyst,6,65000,gbp
14,40,Female,Masters,Project Manager,14,130000,gbp
15,27,Male,Bachelors,Customer Service Rep,2,40000,gbp
16,44,Male,Bachelors,Operations Manager,16,125000,gbp
17,33,Female,Masters,Marketing Manager,7,90000,gbp
18,39,Male,PhD,Senior Engineer,12,115000,gbp
19,25,Female,Bachelors,Data Entry Clerk,0,35000,gbp
20,51,Male,Bachelors,Sales Director,22,180000,gbp
21,34,Female,Masters,Business Analyst,5,80000,gbp
22,47,Male,Masters,VP of Operations,19,190000,gbp
23,30,Male,Bachelors,IT Support,2,50000,gbp
24,36,Female,Bachelors,Recruiter,9,60000,gbp
25,41,Male,Masters,Financial Manager,13,140000,gbp
26,28,Female,Bachelors,Social Media Specialist,3,45000,gbp
27,37,Female,Masters,Software Manager,11,110000,gbp
28,24,Male,Bachelors,Junior Developer,1,40000,gbp
29,43,Female,PhD,Senior Consultant,15,140000,gbp
30,33,Male,Masters,Product Designer,6,90000,gbp
31,50,Male,Bachelors,CEO,25,250000,gbp
32,31,Female,Bachelors,Accountant,4,55000,gbp
33,29,Male,Masters,Data Scientist,3,75000,gbp
34,39,Female,Bachelors,Marketing Specialist,10,65000,gbp
35,46,Male,PhD,Senior Manager,20,170000,gbp
36,27,Male,Bachelors,Technical Writer,2,45000,gbp
37,35,Female,Bachelors,HR Generalist,7,60000,gbp
38,42,Male,Masters,Project Engineer,14,115000,gbp
39,26,Female,Bachelors,Customer Success Rep,1,40000,gbp
40,49,Male,Bachelors,Sales Executive,21,160000,gbp
41,34,Female,Masters,UX Designer,5,80000,gbp
42,48,Male,Masters,Operations Director,18,190000,gbp
43,30,Male,Bachelors,Network Engineer,3,60000,gbp
44,36,Female,Bachelors,Administrative Assistant,8,45000,gbp
45,41,Male,Masters,Strategy Consultant,13,130000,gbp
46,28,Female,Bachelors,Copywriter,2,40000,gbp
47,32,Male,Bachelors,Account Manager,5,75000,gbp
48,45,Female,Masters,Director of Marketing,16,180000,gbp
49,38,Male,PhD,Senior Scientist,11,120000,gbp
